date	IE	Chrome	Firefox	Safari	Opera
11-Dec-1	41.25	23.61	24.98	8.95	1.12
11-Dec-2	40.63	24.04	25.39	8.67	1.16
11-Dec-3	36.95	26.13	25.46	10.06	1.32
11-Dec-4	36.83	25.8	25.44	10.49	1.35
11-Dec-5	40.85	23.78	24.95	9.16	1.17
11-Dec-6	41.04	23.61	24.94	9.14	1.18
11-Dec-7	41.42	23.73	24.72	8.84	1.2
11-Dec-8	40.92	23.74	25.07	8.94	1.24
11-Dec-9	40.98	23.59	25.34	8.76	1.24
11-Dec-10	36.85	25.92	25.35	10.44	1.35
11-Dec-11	36.54	25.19	26.65	10.18	1.35
11-Dec-12	39.77	23.35	26.74	8.91	1.15
11-Dec-13	41.39	23.39	24.98	8.95	1.21
11-Dec-14	41.09	23.64	25.01	8.96	1.21
11-Dec-15	40.58	24.14	25.16	8.79	1.24
11-Dec-16	41	23.93	25.13	8.58	1.27
11-Dec-17	37.11	26.12	25.24	10.02	1.43
11-Dec-18	37.19	25.81	25.32	10.14	1.45
11-Dec-19	40.62	24.31	24.95	8.8	1.23
11-Dec-20	40.6	24.09	25.16	8.79	1.28
11-Dec-21	40.49	24.48	25.03	8.64	1.27
11-Dec-22	39.92	24.75	25.24	8.69	1.3
11-Dec-23	39.83	25.09	24.92	8.7	1.37
11-Dec-24	39.02	25.65	24.09	9.73	1.43
11-Dec-25	38.62	25.8	24.36	9.56	1.57
11-Dec-26	40.12	25.1	24.33	9.03	1.35
11-Dec-27	41.76	24.06	24.18	8.68	1.24
11-Dec-28	41.71	24.17	24.17	8.63	1.24
11-Dec-29	41.89	24.15	24.04	8.6	1.23
11-Dec-30	41.23	24.41	24.15	8.86	1.27
11-Dec-31	40.41	24.61	23.95	9.7	1.24